Date,Open,High,Low,Close,Volume,Name
04-01-2016,656.29,657.72,627.51,636.99,9280761,AMZN
05-01-2016,646.86,646.91,627.65,633.79,5822603,AMZN
06-01-2016,622,639.79,620.31,632.65,5329197,AMZN
07-01-2016,621.8,630,605.21,607.94,7074915,AMZN
08-01-2016,619.66,624.14,606,607.05,5512915,AMZN
11-01-2016,612.48,619.85,598.57,617.74,4891551,AMZN
12-01-2016,625.25,625.99,612.24,617.89,4724100,AMZN
13-01-2016,620.88,620.88,579.16,581.81,7599968,AMZN
14-01-2016,580.25,602.25,569.88,593,7203038,AMZN
15-01-2016,572.24,584.62,565.3,570.18,7754464,AMZN
19-01-2016,577.09,584,566.45,574.48,4782763,AMZN
20-01-2016,564.36,578.45,547.18,571.77,7944703,AMZN
21-01-2016,573.58,588.81,568.22,575.02,4932633,AMZN
22-01-2016,588.73,600.1,584.11,596.38,5101123,AMZN
25-01-2016,597.99,608.5,594.56,596.53,4376653,AMZN
26-01-2016,603.45,604.5,590.38,601.25,3743213,AMZN
27-01-2016,601.99,603.39,578.78,583.35,5029472,AMZN
28-01-2016,608.37,638.06,597.55,635.35,12615917,AMZN
29-01-2016,571.98,593,570,587,14622317,AMZN
01-02-2016,578.15,581.8,570.31,574.81,6313793,AMZN
02-02-2016,570,571.56,550.09,552.1,6281425,AMZN
03-02-2016,553.5,556,521.9,531.07,10037222,AMZN
04-02-2016,525,538.99,519.22,536.26,6176558,AMZN
05-02-2016,529.28,529.45,499.19,502.13,9639606,AMZN
08-02-2016,486.47,493.5,475.21,488.1,9808766,AMZN
09-02-2016,478.01,498.38,474,482.07,7045885,AMZN
10-02-2016,491.76,504.66,486,490.48,6746103,AMZN
11-02-2016,491.17,509.3,484,503.82,7372686,AMZN
12-02-2016,510.7,516.75,501.49,507.08,5357247,AMZN
16-02-2016,519.48,524.45,511.66,521.1,5080654,AMZN
17-02-2016,528.74,537.48,519.39,534.1,4777467,AMZN
18-02-2016,541.19,541.2,523.73,525,4704237,AMZN
19-02-2016,520.71,535.95,515.35,534.9,4941120,AMZN
22-02-2016,542.2,560.65,541.08,559.5,5541066,AMZN
23-02-2016,555.55,556.91,545.33,552.94,4035929,AMZN
24-02-2016,545.75,554.27,533.15,554.04,6207285,AMZN
25-02-2016,555.52,559.39,545.29,555.15,4510534,AMZN
26-02-2016,560.12,562.5,553.17,555.23,4858230,AMZN
29-02-2016,554,564.81,552.51,552.52,4013368,AMZN
01-03-2016,556.29,579.25,556,579.04,5014414,AMZN
02-03-2016,581.75,585,573.7,580.21,4576922,AMZN
03-03-2016,577.96,579.87,573.11,577.49,2736673,AMZN
04-03-2016,581.07,581.4,571.06,575.14,3405070,AMZN
07-03-2016,573.54,573.63,555.55,562.8,4926936,AMZN
08-03-2016,557.87,571.35,554.74,560.26,4709432,AMZN
09-03-2016,559.56,560.35,550.12,559.47,4373282,AMZN
10-03-2016,566.74,567,547.9,558.93,3914343,AMZN
11-03-2016,566.95,570.06,562.73,569.61,3755372,AMZN
14-03-2016,567,576.89,563.05,573.37,3451873,AMZN
15-03-2016,571,581.52,567,577.02,3876821,AMZN
16-03-2016,576.64,581.32,571.14,574.27,3474570,AMZN
17-03-2016,569.51,571.4,555.01,559.44,5918200,AMZN
18-03-2016,560.94,562.33,546.09,552.08,7263345,AMZN
21-03-2016,548.91,555.24,538.58,553.98,5146137,AMZN
22-03-2016,545.11,562.76,545.05,560.48,3990902,AMZN
23-03-2016,561,572.48,558.1,569.63,3966131,AMZN
24-03-2016,567.11,583.55,567.08,582.95,5141569,AMZN
28-03-2016,584.4,584.75,575.56,579.87,3118032,AMZN
29-03-2016,580.15,595.85,576.5,593.86,4167059,AMZN
30-03-2016,596.71,603.24,595,598.69,3887968,AMZN
31-03-2016,599.28,600.75,592.21,593.64,2673617,AMZN
